"","state_abbrev","district_code","bioname_107","bioname_108","bioname_109","bioname_110","bioname_111","bioname_112","bioname_113","bioname_114","bioname_115","bioname_116","bioname_117","party_code_107","party_code_108","party_code_109","party_code_110","party_code_111","party_code_112","party_code_113","party_code_114","party_code_115","party_code_116","party_code_117","nominate_dim1_107","nominate_dim1_108","nominate_dim1_109","nominate_dim1_110","nominate_dim1_111","nominate_dim1_112","nominate_dim1_113","nominate_dim1_114","nominate_dim1_115","nominate_dim1_116","nominate_dim1_117"
"11","AZ",1,"FLAKE, Jeff","RENZI, Rick","RENZI, Rick","RENZI, Rick","KIRKPATRICK, Ann","GOSAR, Paul","KIRKPATRICK, Ann","KIRKPATRICK, Ann","O'HALLERAN, Thomas C.","O'HALLERAN, Thomas C.","O'HALLERAN, Thomas C.",200,200,200,200,100,200,100,100,100,100,100,0.855,0.265,0.265,0.265,-0.167,0.691,-0.167,-0.167,-0.193,-0.193,-0.193
"12","AZ",2,"PASTOR, Ed","FRANKS, Trent","FRANKS, Trent","FRANKS, Trent","FRANKS, Trent","FRANKS, Trent","BARBER, Ron","McSALLY, Martha","McSALLY, Martha","KIRKPATRICK, Ann","KIRKPATRICK, Ann",100,200,200,200,200,200,100,200,200,100,100,-0.421,0.749,0.749,0.749,0.749,0.749,-0.123,0.345,0.345,-0.167,-0.167
"13","AZ",4,"SHADEGG, John B.","PASTOR, Ed","PASTOR, Ed","PASTOR, Ed","PASTOR, Ed","PASTOR, Ed","GOSAR, Paul","GOSAR, Paul","GOSAR, Paul","GOSAR, Paul","GOSAR, Paul",200,100,100,100,100,100,200,200,200,200,200,0.749,-0.421,-0.421,-0.421,-0.421,-0.421,0.691,0.691,0.691,0.691,0.691
"14","AZ",6,"HAYWORTH, John D., Jr.","FLAKE, Jeff","FLAKE, Jeff","FLAKE, Jeff","FLAKE, Jeff","FLAKE, Jeff","SCHWEIKERT, David","SCHWEIKERT, David","SCHWEIKERT, David","SCHWEIKERT, David","SCHWEIKERT, David",200,200,200,200,200,200,200,200,200,200,200,0.559,0.855,0.855,0.855,0.855,0.855,0.578,0.578,0.578,0.578,0.578
"15","AR",3,"BOOZMAN, John","BOOZMAN, John","BOOZMAN, John","BOOZMAN, John","BOOZMAN, John","WOMACK, Steve","WOMACK, Steve","WOMACK, Steve","WOMACK, Steve","WOMACK, Steve","WOMACK, Steve",200,200,200,200,200,200,200,200,200,200,200,0.421,0.421,0.421,0.421,0.421,0.354,0.354,0.354,0.354,0.354,0.354
"16","AR",4,"ROSS, Michael Avery","ROSS, Michael Avery","ROSS, Michael Avery","ROSS, Michael Avery","ROSS, Michael Avery","ROSS, Michael Avery","COTTON, Tom","WESTERMAN, Bruce Eugene","WESTERMAN, Bruce Eugene","WESTERMAN, Bruce Eugene","WESTERMAN, Bruce Eugene",100,100,100,100,100,100,200,200,200,200,200,-0.201,-0.201,-0.201,-0.201,-0.201,-0.201,0.615,0.552,0.552,0.552,0.552
"17","AR",1,"BERRY, Robert Marion","BERRY, Robert Marion","BERRY, Robert Marion","BERRY, Robert Marion","BERRY, Robert Marion","CRAWFORD, Rick","CRAWFORD, Rick","CRAWFORD, Rick","CRAWFORD, Rick","CRAWFORD, Rick","CRAWFORD, Rick",100,100,100,100,100,200,200,200,200,200,200,-0.293,-0.293,-0.293,-0.293,-0.293,0.427,0.427,0.427,0.427,0.427,0.427
"18","AR",2,"SNYDER, Victor F.","SNYDER, Victor F.","SNYDER, Victor F.","SNYDER, Victor F.","SNYDER, Victor F.","GRIFFIN, Tim","GRIFFIN, Tim","HILL, French","HILL, French","HILL, French","HILL, French",100,100,100,100,100,200,200,200,200,200,200,-0.268,-0.268,-0.268,-0.268,-0.268,0.41,0.41,0.447,0.447,0.447,0.447
"19","CA",13,"STARK, Fortney Hillman (Pete), Jr.","STARK, Fortney Hillman (Pete), Jr.","STARK, Fortney Hillman (Pete), Jr.","STARK, Fortney Hillman (Pete), Jr.","STARK, Fortney Hillman (Pete), Jr.","STARK, Fortney Hillman (Pete), Jr.","LEE, Barbara","LEE, Barbara","LEE, Barbara","LEE, Barbara","LEE, Barbara",100,100,100,100,100,100,100,100,100,100,100,-0.631,-0.631,-0.631,-0.631,-0.631,-0.631,-0.681,-0.681,-0.681,-0.681,-0.681
"20","CA",7,"MILLER, George","MILLER, George","MILLER, George","MILLER, George","MILLER, George","MILLER, George","BERA, Ami","BERA, Ami","BERA, Ami","BERA, Ami","BERA, Ami",100,100,100,100,100,100,100,100,100,100,100,-0.552,-0.552,-0.552,-0.552,-0.552,-0.552,-0.235,-0.235,-0.235,-0.235,-0.235
"21","CA",29,"WAXMAN, Henry Arnold","SCHIFF, Adam","SCHIFF, Adam","SCHIFF, Adam","SCHIFF, Adam","SCHIFF, Adam","CÁRDENAS, Tony","CÁRDENAS, Tony","CÁRDENAS, Tony","CÁRDENAS, Tony","CÁRDENAS, Tony",100,100,100,100,100,100,100,100,100,100,100,-0.473,-0.35,-0.35,-0.35,-0.35,-0.35,-0.385,-0.385,-0.385,-0.385,-0.385
"22","CA",32,"DIXON, Julian Carey","SOLIS, Hilda L.","SOLIS, Hilda L.","SOLIS, Hilda L.","SOLIS, Hilda L.","CHU, Judy","NAPOLITANO, Grace Flores","NAPOLITANO, Grace Flores","NAPOLITANO, Grace Flores","NAPOLITANO, Grace Flores","NAPOLITANO, Grace Flores",100,100,100,100,100,100,100,100,100,100,100,-0.458,-0.508,-0.508,-0.508,-0.508,-0.488,-0.448,-0.448,-0.448,-0.448,-0.448
"23","CA",40,"LEWIS, Charles Jeremy (Jerry)","ROYCE, Edward Randall","ROYCE, Edward Randall","ROYCE, Edward Randall","ROYCE, Edward Randall","ROYCE, Edward Randall","ROYBAL-ALLARD, Lucille","ROYBAL-ALLARD, Lucille","ROYBAL-ALLARD, Lucille","ROYBAL-ALLARD, Lucille","ROYBAL-ALLARD, Lucille",200,200,200,200,200,200,100,100,100,100,100,0.348,0.657,0.657,0.657,0.657,0.657,-0.469,-0.469,-0.469,-0.469,-0.469
"24","CA",5,"MATSUI, Robert T.","MATSUI, Robert T.","MATSUI, Doris","MATSUI, Doris","MATSUI, Doris","MATSUI, Doris","THOMPSON, Michael","THOMPSON, Michael","THOMPSON, Michael","THOMPSON, Michael","THOMPSON, Michael",100,100,100,100,100,100,100,100,100,100,100,-0.404,-0.404,-0.435,-0.435,-0.435,-0.435,-0.395,-0.395,-0.395,-0.395,-0.395
"25","CA",21,"THOMAS, William Marshall","NUNES, Devin","NUNES, Devin","NUNES, Devin","NUNES, Devin","NUNES, Devin","VALADAO, David G.","VALADAO, David G.","VALADAO, David G.","COX, TJ","VALADAO, David G.",200,200,200,200,200,200,200,200,200,100,200,0.371,0.45,0.45,0.45,0.45,0.45,0.259,0.259,0.259,-0.343,0.259
"26","CA",28,"DREIER, David Timothy","BERMAN, Howard Lawrence","BERMAN, Howard Lawrence","BERMAN, Howard Lawrence","BERMAN, Howard Lawrence","BERMAN, Howard Lawrence","SCHIFF, Adam","SCHIFF, Adam","SCHIFF, Adam","SCHIFF, Adam","SCHIFF, Adam",200,100,100,100,100,100,100,100,100,100,100,0.478,-0.404,-0.404,-0.404,-0.404,-0.404,-0.35,-0.35,-0.35,-0.35,-0.35
"27","CA",52,"HUNTER, Duncan Lee","HUNTER, Duncan Lee","HUNTER, Duncan Lee","HUNTER, Duncan Lee","HUNTER, Duncan Duane","HUNTER, Duncan Duane","PETERS, Scott","PETERS, Scott","PETERS, Scott","PETERS, Scott","PETERS, Scott",200,200,200,200,200,200,100,100,100,100,100,0.47,0.47,0.47,0.47,0.539,0.539,-0.182,-0.182,-0.182,-0.182,-0.182
"28","CA",12,"LANTOS, Thomas Peter","LANTOS, Thomas Peter","LANTOS, Thomas Peter","LANTOS, Thomas Peter","SPEIER, Karen Lorraine Jacqueline (Jackie)","SPEIER, Karen Lorraine Jacqueline (Jackie)","PELOSI, Nancy","PELOSI, Nancy","PELOSI, Nancy","PELOSI, Nancy","PELOSI, Nancy",100,100,100,100,100,100,100,100,100,100,100,-0.376,-0.376,-0.376,-0.376,-0.381,-0.381,-0.49,-0.49,-0.49,-0.49,-0.49
"29","CA",26,"BERMAN, Howard Lawrence","DREIER, David Timothy","DREIER, David Timothy","DREIER, David Timothy","DREIER, David Timothy","DREIER, David Timothy","BROWNLEY, Julia","BROWNLEY, Julia","BROWNLEY, Julia","BROWNLEY, Julia","BROWNLEY, Julia",100,200,200,200,200,200,100,100,100,100,100,-0.404,0.478,0.478,0.478,0.478,0.478,-0.287,-0.287,-0.287,-0.287,-0.287
"30","CA",23,"GALLEGLY, Elton W.","CAPPS, Lois","CAPPS, Lois","CAPPS, Lois","CAPPS, Lois","CAPPS, Lois","MCCARTHY, Kevin","MCCARTHY, Kevin","MCCARTHY, Kevin","MCCARTHY, Kevin","MCCARTHY, Kevin",200,100,100,100,100,100,200,200,200,200,200,0.402,-0.389,-0.389,-0.389,-0.389,-0.389,0.455,0.455,0.455,0.455,0.455
"31","CA",2,"HERGER, Walter William (Wally)","HERGER, Walter William (Wally)","HERGER, Walter William (Wally)","HERGER, Walter William (Wally)","HERGER, Walter William (Wally)","HERGER, Walter William (Wally)","HUFFMAN, Jared","HUFFMAN, Jared","HUFFMAN, Jared","HUFFMAN, Jared","HUFFMAN, Jared",200,200,200,200,200,200,100,100,100,100,100,0.551,0.551,0.551,0.551,0.551,0.551,-0.428,-0.428,-0.428,-0.428,-0.428
"32","CA",8,"PELOSI, Nancy","PELOSI, Nancy","PELOSI, Nancy","PELOSI, Nancy","PELOSI, Nancy","PELOSI, Nancy","COOK, Paul","COOK, Paul","COOK, Paul","COOK, Paul","OBERNOLTE, Jay",100,100,100,100,100,100,200,200,200,200,200,-0.49,-0.49,-0.49,-0.49,-0.49,-0.49,0.372,0.372,0.372,0.372,0.286
"33","CA",47,"COX, Charles Christopher","SANCHEZ, Loretta","SANCHEZ, Loretta","SANCHEZ, Loretta","SANCHEZ, Loretta","SANCHEZ, Loretta","LOWENTHAL, Alan","LOWENTHAL, Alan","LOWENTHAL, Alan","LOWENTHAL, Alan","LOWENTHAL, Alan",200,100,100,100,100,100,100,100,100,100,100,0.54,-0.367,-0.367,-0.367,-0.367,-0.367,-0.449,-0.449,-0.449,-0.449,-0.449
"34","CA",45,"ROHRABACHER, Dana","BONO, Mary","BONO, Mary","BONO, Mary","BONO, Mary","BONO, Mary","CAMPBELL, John (of California)","WALTERS, Mimi","WALTERS, Mimi","PORTER, Katie","PORTER, Katie",200,200,200,200,200,200,200,200,200,100,100,0.626,0.353,0.353,0.353,0.353,0.353,0.748,0.433,0.433,-0.186,-0.186
"35","CA",18,"CONDIT, Gary Adrian","CARDOZA, Dennis A.","CARDOZA, Dennis A.","CARDOZA, Dennis A.","CARDOZA, Dennis A.","CARDOZA, Dennis A.","ESHOO, Anna Georges","ESHOO, Anna Georges","ESHOO, Anna Georges","ESHOO, Anna Georges","ESHOO, Anna Georges",100,100,100,100,100,100,100,100,100,100,100,-0.103,-0.262,-0.262,-0.262,-0.262,-0.262,-0.381,-0.381,-0.381,-0.381,-0.381
"36","CA",15,"HONDA, Mike","HONDA, Mike","HONDA, Mike","HONDA, Mike","HONDA, Mike","HONDA, Mike","SWALWELL, Eric","SWALWELL, Eric","SWALWELL, Eric","SWALWELL, Eric","SWALWELL, Eric",100,100,100,100,100,100,100,100,100,100,100,-0.529,-0.529,-0.529,-0.529,-0.529,-0.529,-0.366,-0.366,-0.366,-0.366,-0.366
"37","CA",27,"SCHIFF, Adam","SHERMAN, Brad","SHERMAN, Brad","SHERMAN, Brad","SHERMAN, Brad","SHERMAN, Brad","CHU, Judy","CHU, Judy","CHU, Judy","CHU, Judy","CHU, Judy",100,100,100,100,100,100,100,100,100,100,100,-0.35,-0.343,-0.343,-0.343,-0.343,-0.343,-0.488,-0.488,-0.488,-0.488,-0.488
"38","CA",31,"SOLIS, Hilda L.","BECERRA, Xavier","BECERRA, Xavier","BECERRA, Xavier","BECERRA, Xavier","BECERRA, Xavier","MILLER, Gary G.","AGUILAR, Peter Rey","AGUILAR, Peter Rey","AGUILAR, Peter Rey","AGUILAR, Peter Rey",100,100,100,100,100,100,200,100,100,100,100,-0.508,-0.512,-0.512,-0.512,-0.512,-0.512,0.478,-0.295,-0.295,-0.295,-0.295
"39","CA",48,"ISSA, Darrell","COX, Charles Christopher","COX, Charles Christopher","CAMPBELL, John (of California)","CAMPBELL, John (of California)","CAMPBELL, John (of California)","ROHRABACHER, Dana","ROHRABACHER, Dana","ROHRABACHER, Dana","ROUDA, Harley","STEEL, Michelle",200,200,200,200,200,200,200,200,200,100,200,0.5,0.54,0.54,0.748,0.748,0.748,0.626,0.626,0.626,-0.336,0.354
"40","CA",49,"DAVIS, Susan A.","ISSA, Darrell","ISSA, Darrell","ISSA, Darrell","ISSA, Darrell","ISSA, Darrell","ISSA, Darrell","ISSA, Darrell","ISSA, Darrell","LEVIN, Mike","LEVIN, Mike",100,200,200,200,200,200,200,200,200,100,100,-0.343,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,-0.369,-0.369
"41","CA",4,"DOOLITTLE, John Taylor","DOOLITTLE, John Taylor","DOOLITTLE, John Taylor","DOOLITTLE, John Taylor","McCLINTOCK, Tom","McCLINTOCK, Tom","McCLINTOCK, Tom","McCLINTOCK, Tom","McCLINTOCK, Tom","McCLINTOCK, Tom","McCLINTOCK, Tom",200,200,200,200,200,200,200,200,200,200,200,0.519,0.519,0.519,0.519,0.708,0.708,0.708,0.708,0.708,0.708,0.708
"42","CA",20,"DOOLEY, Calvin M.","DOOLEY, Calvin M.","COSTA, Jim","COSTA, Jim","COSTA, Jim","COSTA, Jim","FARR, Sam","FARR, Sam","PANETTA, James Varni","PANETTA, James Varni","PANETTA, James Varni",100,100,100,100,100,100,100,100,100,100,100,-0.19,-0.19,-0.192,-0.192,-0.192,-0.192,-0.455,-0.455,-0.304,-0.304,-0.304
"43","CA",35,"WATERS, Maxine","WATERS, Maxine","WATERS, Maxine","WATERS, Maxine","WATERS, Maxine","WATERS, Maxine","NEGRETE McLEOD, Gloria","TORRES, Norma Judith","TORRES, Norma Judith","TORRES, Norma Judith","TORRES, Norma Judith",100,100,100,100,100,100,100,100,100,100,100,-0.655,-0.655,-0.655,-0.655,-0.655,-0.655,-0.437,-0.363,-0.363,-0.363,-0.363
"44","CA",51,"CUNNINGHAM, Randall (Duke)","FILNER, Bob","FILNER, Bob","FILNER, Bob","FILNER, Bob","FILNER, Bob","VARGAS, Juan","VARGAS, Juan","VARGAS, Juan","VARGAS, Juan","VARGAS, Juan",200,100,100,100,100,100,100,100,100,100,100,0.411,-0.652,-0.652,-0.652,-0.652,-0.652,-0.401,-0.401,-0.401,-0.401,-0.401
"45","CA",6,"WOOLSEY, Lynn C.","WOOLSEY, Lynn C.","WOOLSEY, Lynn C.","WOOLSEY, Lynn C.","WOOLSEY, Lynn C.","WOOLSEY, Lynn C.","MATSUI, Doris","MATSUI, Doris","MATSUI, Doris","MATSUI, Doris","MATSUI, Doris",100,100,100,100,100,100,100,100,100,100,100,-0.556,-0.556,-0.556,-0.556,-0.556,-0.556,-0.435,-0.435,-0.435,-0.435,-0.435
"46","CA",11,"POMBO, Richard William","POMBO, Richard William","POMBO, Richard William","McNERNEY, Jerry","McNERNEY, Jerry","McNERNEY, Jerry","MILLER, George","DESAULNIER, Mark James","DESAULNIER, Mark James","DESAULNIER, Mark James","DESAULNIER, Mark James",200,200,200,100,100,100,100,100,100,100,100,0.461,0.461,0.461,-0.263,-0.263,-0.263,-0.552,-0.532,-0.532,-0.532,-0.532
"47","CA",14,"ESHOO, Anna Georges","ESHOO, Anna Georges","ESHOO, Anna Georges","ESHOO, Anna Georges","ESHOO, Anna Georges","ESHOO, Anna Georges","SPEIER, Karen Lorraine Jacqueline (Jackie)","SPEIER, Karen Lorraine Jacqueline (Jackie)","SPEIER, Karen Lorraine Jacqueline (Jackie)","SPEIER, Karen Lorraine Jacqueline (Jackie)","SPEIER, Karen Lorraine Jacqueline (Jackie)",100,100,100,100,100,100,100,100,100,100,100,-0.381,-0.381,-0.381,-0.381,-0.381,-0.381,-0.381,-0.381,-0.381,-0.381,-0.381
"48","CA",17,"FARR, Sam","FARR, Sam","FARR, Sam","FARR, Sam","FARR, Sam","FARR, Sam","HONDA, Mike","HONDA, Mike","KHANNA, Rohit","KHANNA, Rohit","KHANNA, Rohit",100,100,100,100,100,100,100,100,100,100,100,-0.455,-0.455,-0.455,-0.455,-0.455,-0.455,-0.529,-0.529,-0.555,-0.555,-0.555
"49","CA",25,"McKEON, Howard P. (Buck)","McKEON, Howard P. (Buck)","McKEON, Howard P. (Buck)","McKEON, Howard P. (Buck)","McKEON, Howard P. (Buck)","McKEON, Howard P. (Buck)","McKEON, Howard P. (Buck)","KNIGHT, Steve","KNIGHT, Steve","HILL, Katie","GARCIA, Mike",200,200,200,200,200,200,200,200,200,100,200,0.396,0.396,0.396,0.396,0.396,0.396,0.396,0.397,0.397,-0.306,0.386
"50","CA",30,"BECERRA, Xavier","WAXMAN, Henry Arnold","WAXMAN, Henry Arnold","WAXMAN, Henry Arnold","WAXMAN, Henry Arnold","WAXMAN, Henry Arnold","SHERMAN, Brad","SHERMAN, Brad","SHERMAN, Brad","SHERMAN, Brad","SHERMAN, Brad",100,100,100,100,100,100,100,100,100,100,100,-0.512,-0.473,-0.473,-0.473,-0.473,-0.473,-0.343,-0.343,-0.343,-0.343,-0.343
"51","CA",33,"ROYBAL-ALLARD, Lucille","WATSON, Diane Edith","WATSON, Diane Edith","WATSON, Diane Edith","WATSON, Diane Edith","BASS, Karen","WAXMAN, Henry Arnold","LIEU, Ted","LIEU, Ted","LIEU, Ted","LIEU, Ted",100,100,100,100,100,100,100,100,100,100,100,-0.469,-0.531,-0.531,-0.531,-0.531,-0.584,-0.473,-0.374,-0.374,-0.374,-0.374
"52","CA",36,"HARMAN, Jane L.","HARMAN, Jane L.","HARMAN, Jane L.","HARMAN, Jane L.","HARMAN, Jane L.","HAHN, Janice","RUIZ, Raul","RUIZ, Raul","RUIZ, Raul","RUIZ, Raul","RUIZ, Raul",100,100,100,100,100,100,100,100,100,100,100,-0.262,-0.262,-0.262,-0.262,-0.262,-0.39,-0.245,-0.245,-0.245,-0.245,-0.245
"53","CA",38,"HORN, John Stephen (Steve)","NAPOLITANO, Grace Flores","NAPOLITANO, Grace Flores","NAPOLITANO, Grace Flores","NAPOLITANO, Grace Flores","NAPOLITANO, Grace Flores","SÁNCHEZ, Linda T.","SÁNCHEZ, Linda T.","SÁNCHEZ, Linda T.","SÁNCHEZ, Linda T.","SÁNCHEZ, Linda T.",200,100,100,100,100,100,100,100,100,100,100,0.167,-0.448,-0.448,-0.448,-0.448,-0.448,-0.508,-0.508,-0.508,-0.508,-0.508
"54","CA",39,"ROYCE, Edward Randall","SÁNCHEZ, Linda T.","SÁNCHEZ, Linda T.","SÁNCHEZ, Linda T.","SÁNCHEZ, Linda T.","SÁNCHEZ, Linda T.","ROYCE, Edward Randall","ROYCE, Edward Randall","ROYCE, Edward Randall","CISNEROS, Gil","KIM, Young",200,100,100,100,100,100,200,200,200,100,200,0.657,-0.508,-0.508,-0.508,-0.508,-0.508,0.657,0.657,0.657,-0.376,0.26
"55","CA",43,"CALVERT, Ken","BACA, Joe","BACA, Joe","BACA, Joe","BACA, Joe","BACA, Joe","WATERS, Maxine","WATERS, Maxine","WATERS, Maxine","WATERS, Maxine","WATERS, Maxine",200,100,100,100,100,100,100,100,100,100,100,0.35,-0.349,-0.349,-0.349,-0.349,-0.349,-0.655,-0.655,-0.655,-0.655,-0.655
"56","CA",50,"FILNER, Bob","CUNNINGHAM, Randall (Duke)","CUNNINGHAM, Randall (Duke)","BILBRAY, Brian P.","BILBRAY, Brian P.","BILBRAY, Brian P.","HUNTER, Duncan Duane","HUNTER, Duncan Duane","HUNTER, Duncan Duane","HUNTER, Duncan Duane","ISSA, Darrell",100,200,200,200,200,200,200,200,200,200,200,-0.652,0.411,0.411,0.392,0.392,0.392,0.539,0.539,0.539,0.539,0.5
"57","CA",16,"LOFGREN, Zoe","LOFGREN, Zoe","LOFGREN, Zoe","LOFGREN, Zoe","LOFGREN, Zoe","LOFGREN, Zoe","COSTA, Jim","COSTA, Jim","COSTA, Jim","COSTA, Jim","COSTA, Jim",100,100,100,100,100,100,100,100,100,100,100,-0.402,-0.402,-0.402,-0.402,-0.402,-0.402,-0.192,-0.192,-0.192,-0.192,-0.192
"58","CA",19,"RADANOVICH, George P.","RADANOVICH, George P.","RADANOVICH, George P.","RADANOVICH, George P.","RADANOVICH, George P.","DENHAM, Jeff","LOFGREN, Zoe","LOFGREN, Zoe","LOFGREN, Zoe","LOFGREN, Zoe","LOFGREN, Zoe",200,200,200,200,200,200,100,100,100,100,100,0.484,0.484,0.484,0.484,0.484,0.306,-0.402,-0.402,-0.402,-0.402,-0.402
"59","CA",37,"MILLENDER-McDONALD, Juanita","MILLENDER-McDONALD, Juanita","MILLENDER-McDONALD, Juanita","RICHARDSON, Laura","RICHARDSON, Laura","RICHARDSON, Laura","BASS, Karen","BASS, Karen","BASS, Karen","BASS, Karen","BASS, Karen",100,100,100,100,100,100,100,100,100,100,100,-0.438,-0.438,-0.438,-0.339,-0.339,-0.339,-0.584,-0.584,-0.584,-0.584,-0.584
"60","CA",10,"TAUSCHER, Ellen O'Kane","TAUSCHER, Ellen O'Kane","TAUSCHER, Ellen O'Kane","TAUSCHER, Ellen O'Kane","GARAMENDI, John","GARAMENDI, John","DENHAM, Jeff","DENHAM, Jeff","DENHAM, Jeff","HARDER, Josh","HARDER, Josh",100,100,100,100,100,100,200,200,200,100,100,-0.308,-0.308,-0.308,-0.308,-0.309,-0.309,0.306,0.306,0.306,-0.391,-0.391
"61","CA",24,"SHERMAN, Brad","GALLEGLY, Elton W.","GALLEGLY, Elton W.","GALLEGLY, Elton W.","GALLEGLY, Elton W.","GALLEGLY, Elton W.","CAPPS, Lois","CAPPS, Lois","CARBAJAL, Salud","CARBAJAL, Salud","CARBAJAL, Salud",100,200,200,200,200,200,100,100,100,100,100,-0.343,0.402,0.402,0.402,0.402,0.402,-0.389,-0.389,-0.299,-0.299,-0.299
"62","CA",46,"SANCHEZ, Loretta","ROHRABACHER, Dana","ROHRABACHER, Dana","ROHRABACHER, Dana","ROHRABACHER, Dana","ROHRABACHER, Dana","SANCHEZ, Loretta","SANCHEZ, Loretta","CORREA, Jose Luis","CORREA, Jose Luis","CORREA, Jose Luis",100,200,200,200,200,200,100,100,100,100,100,-0.367,0.626,0.626,0.626,0.626,0.626,-0.367,-0.367,-0.283,-0.283,-0.283
